state,value
Alabama,33300
Alaska,25000
Arizona,32000
Arkansas,30000
California,31400
Colorado,30000
Connecticut,26300
Delaware,32000
Florida,35400
Georgia,31000
Hawaii,40000
Idaho,30000
Illinois,31300
Indiana,32200
Iowa,38000
Kansas,32500
Kentucky,30000
Louisiana,32000
Maine,40000
Maryland,33300
Massachusetts,31900
Michigan,27700
Minnesota,33300
Mississippi,50000
Missouri,30000
Montana,40000
Nebraska,20000
Nevada,28300
New Hampshire,33300
New Jersey,33100
New Mexico,40000
New York,32700
North Carolina,34400
North Dakota,35000
Ohio,31600
Oklahoma,18000
Oregon,32000
Pennsylvania,33000
Rhode Island,20000
South Carolina,37500
South Dakota,30000
Tennessee,36700
Texas,30200
Utah,34000
Virginia,27100
Washington,32900
West Virginia,30000
Wisconsin,32500